chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C4H6O5	HMDB0000156	C00149	134.02153	M-H	133.0143	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C4H8O3	HMDB0000008	C05984	104.0474	M-H	103.0401	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C4H8O3	HMDB0000357	C01089	104.0474	M-H	103.0401	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C3H6O4	HMDB0000139	C00258	106.0266	M-H	105.0193	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C5H8O3	HMDB0001865	C06255	116.0473	M-H	115.0401	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C5H8O3	HMDB0000019	C00141	116.0473	M-H	115.0401	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C5H8O3	-	-	116.0473	M-H	115.0401	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C6H10O3	HMDB0000695	C00233	130.062988	M-H	129.0557	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C6H10O3	HMDB0000491	C03465	130.06299	M-H	129.0557	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C6H10O3	-	-	130.06299	M-H	129.0557	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C6H10O5	HMDB0000355	C03761	162.05283	M-H	161.0456	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C6H12O4	HMDB0000227	C00418	148.07356	M-H	147.0663	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C5H6O4	HMDB0000634	C02226	130.02661	M-H	129.0193	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C5H8O4	HMDB0000661	C00489	132.04226	M-H	131.035	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C5H8O4	HMDB0000622	-	132.0423	M-H	131.035	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C6H10O4	HMDB0000448	C06104	146.0579	M-H	145.0506	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C6H8O5	HMDB0000225	C00322	160.0372	M-H	159.0299	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C6H10O5	HMDB0000321	C02360	162.0528	M-H	161.0455	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C7H8O5	-	C02652	172.0372	M-H	171.0299	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C7H10O5	HMDB0003070	C00493	174.0528	M-H	173.0456	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA
C8H14O4	HMDB0000893	C08278	174.0892	M-H	173.0819	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C9H16O4	HMDB0000784	C08261	188.10486	M-H	187.0976	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C7H6O2	HMDB0001870	C00180	122.03678	M-H	121.0295	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C7H6O3	HMDB0001895	C00805	138.0317	M-H	137.0244	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O3	HMDB0002466	C00587	138.0317	M-H	137.0244	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O3	HMDB0000500	C00156	138.0317	M-H	137.0244	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O3	-	-	138.0317	M-H	137.0244	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O4	HMDB0029666	C00230	154.02661	M-H	153.0193	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O4	HMDB0013677	-	154.02661	M-H	153.0193	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O4	HMDB0013676	-	154.02661	M-H	153.0193	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O4	HMDB0000397	C00196	154.02661	M-H	153.0193	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O4	HMDB0001856	C00230	154.02661	M-H	153.0193	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O4	HMDB0000152	C00628	154.02661	M-H	153.0193	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C7H6O4	-	-	154.02661	M-H	153.0193	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C8H8O2	HMDB0000209	C07086	136.05243	M-H	135.0452	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB0000703	C01984	152.0474	M-H	151.0401	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB0032604	-	152.0474	M-H	151.0401	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB0032606	-	152.0474	M-H	151.0401	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB0000020	C00642	152.0474	M-H	151.0401	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB0000669	C05852	152.0474	M-H	151.0401	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB0000440	C05593	152.0474	M-H	151.0401	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C8H8O3	HMDB0012308	C00755	152.0474	M-H	151.0401	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C8H8O3	-	-	152.0474	M-H	151.0401	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C8H8O4	HMDB0000484	C06672	168.0423	M-H	167.035	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C8H8O4	HMDB0000750	-	168.0423	M-H	167.035	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C8H8O4	HMDB0000822	C11527	168.0423	M-H	167.035	NA	NA	NA	NA	-	NA	NA	NA	NA	NA	NA	NA
C8H8O4	HMDB0000130	C00544	168.0423	M-H	167.035	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA
C9H8O2	HMDB0000567	C10438	148.05243	M-H	147.0448	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
