chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C5H10N2O3	HMDB00641	C00064	146.06914	M+H	147.0764	NA	NA	NA	NA	87.2934	NA	NA	NA	NA	NA	NA	NA
C9H10N2	HMDB03701	C03114	146.0844	M+H	147.0922	NA	NA	NA	NA	28.8	NA	NA	NA	NA	NA	NA	NA
C6H14N2O2	HMDB00182	C16440	146.10553	M+H	147.1128	NA	NA	NA	NA	105	NA	NA	NA	NA	NA	NA	NA
C5H9NO4	HMDB00148	C00025	147.053124	M+H	148.0604	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	NA
C5H9NO4	HMDB02393	C12269	147.05316	M+H	148.0604	NA	NA	NA	NA	77.4	NA	NA	NA	NA	NA	NA	NA
C5H9NO4	HMDB03011	C00979	147.05316	M+H	148.0604	NA	NA	NA	NA	84.9	NA	NA	NA	NA	NA	NA	NA
C5H9NO4		CA1449	147.05316	M+H	148.0604	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA	NA
C9H9NO	HMDB04186	CA1325	147.06841	M+H	148.0757	NA	NA	NA	NA	29.4	NA	NA	NA	NA	NA	NA	NA
C9H8O2	HMDB00930	C10438	148.05243	M+H	149.0597	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C6H12O4	HMDB00227	C00418	148.07356	M+H	149.0808	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA
C5H11NO2S	HMDB00696	C00073	149.05105	M+H	150.0583	NA	NA	NA	NA	53	NA	NA	NA	NA	NA	NA	NA
C6H7N5	HMDB11600	C00913	149.07015	M+H	150.0774	NA	NA	NA	NA	41	NA	NA	NA	NA	NA	NA	NA
C4H6O6	HMDB00956	C00898	150.01644	M+H	194.9876	NA	NA	NA	NA	72.5	NA	NA	NA	NA	NA	NA	NA
C4H6O6	HMDB29878	C01534	150.01644	M+H	194.9876	NA	NA	NA	NA	73.4	NA	NA	NA	NA	NA	NA	NA
C5H5N5O	HMDB00132	C00242	151.04941	M+H	152.0567	NA	NA	NA	NA	49.8	NA	NA	NA	NA	NA	NA	NA
